"Rk","Pick","Year","Height","Name","Del","TeamName","Team","Conf","G","Role","Min%","PRPG!","D-PRPG","BPM","OBPM","DBPM","ORtg","D-Rtg","Usg","eFG","TS","OR","DR","Ast","TO","A/TO","Blk","Stl","FTR","FC/40","Dunks","","Close 2","","Far 2","","FT","","2P","","3PR","3P/100","3P","3pp"
"30","-","Jr","6-3","CJ Hardy","0","Cal St. Bakersfield","BW","28","Combo G","61.1","1.6","1.6","-0.6","0.5","-1.1","107.6","113.5","21.1","47.4","54.8","3.2","10.2","14.8","19.2","1.2","0.4","2.7","52.3","3.0","7-8",".875","42-89",".472","9-47",".191","81-101",".802","51-136",".375","29.5","4.9","27-57",".474"
"31","-","Jr","6-10","Joel Armotrading","0","UC Riverside","BW","27","C","53.2","1.5","2.1","0.4","-0.8","1.2","118.7","104.6","14.1","56.5","60.1","11.8","22.6","4.2","17.3","0.6","5.2","1.1","47.2","5.8","11-16",".688","40-62",".645","21-46",".457","37-51",".725","61-108",".565","0.0","0.0","0-0",".000"
"32","-","So","6-2","Myles Che","0","UC Irvine","BW","27","Scoring PG","68.4","1.4","3.3","0.1","-0.9","0.9","100.4","98.8","24.1","47.4","55.1","2.2","8.0","20.6","21.8","1.2","0.0","1.5","41.3","2.6","0-0",".000","22-41",".537","42-117",".359","93-104",".894","64-158",".405","37.3","6.9","37-94",".394"
"33","-","Jr","6-9","Harry Rouhliadeff","0","Hawaii","BW","26","Stretch 4","47.3","1.4","1.6","1.0","1.0","-0.1","113.7","108.1","18.6","55.5","60.1","7.8","17.0","6.1","17.0","0.7","0.6","0.7","43.3","4.3","2-2","1.000","40-61",".656","5-21",".238","43-55",".782","45-82",".549","35.4","5.5","17-45",".378"
"34","-","Jr","6-8","Nordin Kapic","0","UC San Diego","BW","26","Stretch 4","60.3","1.3","3.2","-0.1","-0.5","0.4","101.5","95.8","24.2","47.1","51.1","6.4","18.0","9.8","14.7","0.9","2.5","2.3","36.1","4.4","1-1","1.000","38-77",".494","6-14",".429","58-82",".707","44-91",".484","59.9","12.4","42-136",".309"
"35","-","So","6-0","Connor Sevilla","0","UC Davis","BW","26","Combo G","73.7","1.3","2.2","-0.8","-0.1","-0.7","114.2","110.2","14.2","54.5","58.2","1.8","4.5","6.6","12.3","1.1","0.2","0.9","18.9","2.2","0-0",".000","3-7",".429","15-38",".395","34-36",".944","18-45",".400","76.3","11.0","57-145",".393"
"36","-","Sr","6-3","Jarred Hyder","11.8","Cal Poly","BW","26","Combo G","76.4","1.3","2.0","-2.5","-0.5","-2.0","98.1","114.4","21.9","48.0","50.6","1.8","8.9","16.5","18.7","1.2","0.0","2.0","17.3","1.8","0-0",".000","45-79",".570","4-27",".148","44-56",".786","49-106",".462","67.3","13.3","71-218",".326"
"37","-","Jr","6-8","Colin Smith","75.2","UC Santa Barbara","BW","14","Stretch 4","25.4","1.3","1.7","0.8","1.1","-0.3","108.0","106.5","21.4","53.8","56.1","7.9","11.2","14.1","18.6","1.1","1.7","1.3","28.7","3.5","3-3","1.000","10-19",".526","9-21",".429","16-23",".696","19-40",".475","50.0","8.9","16-40",".400"
"38","-","So","6-6","Marvin McGhee IV","0","Cal St. Bakersfield","BW","27","Wing F","39.5","1.3","1.1","0.5","1.9","-1.4","121.0","112.4","15.1","61.8","62.5","4.5","18.6","2.7","15.9","0.4","0.9","1.9","11.8","4.1","3-4",".750","14-30",".467","4-17",".235","10-14",".714","18-47",".383","60.5","9.6","37-72",".514"
"39","-","Sr","6-6","Mahmoud Fofana","0","Cal St. Northridge","BW","26","Wing F","67.4","1.2","2.7","0.9","-0.4","1.3","115.5","103.6","13.5","58.4","61.2","8.4","12.8","6.1","18.4","0.9","1.7","2.3","63.2","4.1","5-6",".833","72-118",".610","1-4",".250","53-79",".671","73-122",".598","2.4","0.2","0-3",".000"
