RK,Pick,YEAR,HEIGHT,PLAYER,TEAM,CONF,POS,Role,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,D-Rtg,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,Dunks,Close 2,Far 2,FT,2P,3PR,3P/100,3P
698,-,Jr,6-11,Idy Diallo,UC Riverside,BW,C,23.2,-0.5,1.1,-7.8,-9.1,1.3,78.0,99.1,15.1,56.3,54.6,7.8,19.5,4.0,35.3,0.2,5.3,0.8,29.4,9.2,12-16,0.750,0.655,0.417,0.357,0.563,0.0,0-0,0.000
699,-,Sr,6-3,Jamal Smith,Cal Poly,BW,Wing G,39.1,-0.5,1.6,-5.1,-5.1,0.0,85.3,105.7,14.8,47.2,51.8,1.4,11.9,12.8,29.9,1.0,0.9,1.6,48.4,5.9,3-3,1.000,0.553,0.287,0.655,0.459,3.2,38-114,0.333
700,-,So,5-10,Jared Rice,Cal Poly,BW,PF/C,7.1,-0.5,0.3,-12.9,-7.4,-5.4,70.7,120.2,20.9,32.0,39.6,4.4,4.2,10.1,20.1,0.9,0.0,0.6,28.9,4.7,0-0,0.000,0.429,0.143,0.533,0.357,7.6,4-22,0.182
701,-,Jr,6-9,Jordan Mitchell,Cal St. Northridge,BW,C,11.0,-0.5,0.5,-5.9,-7.2,1.3,79.7,105.7,7.9,46.7,54.3,5.9,14.5,2.3,40.9,0.3,8.0,0.9,88.1,9.3,1-1,1.000,0.333,1.000,0.692,0.467,0.0,0-0,0.000
702,-,Sr,6-3,D.J. Posley,UC Santa Barbara,BW,null,46.3,-0.5,2.3,-2.1,-4.4,2.3,81.0,95.0,17.6,39.1,41.8,2.5,10.1,19.5,26.9,1.2,0.3,3.9,25.0,4.0,0-0,0.000,0.000,0.000,0.606,0.376,2.4,14-46,0.304
703,-,Sr,6-0,Anson Moye,Long Beach St.,BW,Combo G,5.0,-0.5,0.3,-6.1,-5.6,-0.5,65.3,109.5,9.6,37.1,38.3,2.1,8.0,7.8,28.6,1.3,0.4,1.6,31.3,4.5,1-1,1.000,0.667,0.000,0.200,0.308,4.0,5-18,0.278
704,-,Fr,6-1,Collin Woods,UC Irvine,BW,Combo G,34.5,-0.5,1.0,-4.7,-4.2,-0.5,79.1,106.1,16.6,35.7,37.9,2.1,6.6,10.5,17.0,1.1,2.5,1.6,16.5,3.7,1-1,1.000,0.412,0.318,0.632,0.359,10.8,18-76,0.237
705,-,So,6-9,LaRond Williams,Long Beach St.,BW,C,8.9,-0.6,0.7,-8.6,-9.4,0.8,68.9,103.8,15.4,34.1,47.0,7.9,14.5,2.9,33.1,0.2,7.2,1.6,46.1,11.5,3-3,1.000,0.412,0.296,0.611,0.341,0.0,0-0,0.000
706,-,Jr,6-5,Eric Rwahwire,UC Riverside,BW,Wing F,6.1,-0.6,0.9,-8.4,-6.4,-2.0,72.0,105.8,22.2,33.2,44.2,2.6,15.2,7.5,17.3,0.5,0.4,1.4,14.0,4.9,0-0,0.000,0.375,0.267,0.800,0.304,12.6,15-64,0.234
707,-,Jr,6-1,Jalonni Diggs,UC Riverside,BW,Pure PG,38.8,-0.6,1.3,-4.8,-3.2,-1.6,88.9,110.7,14.8,44.4,45.9,1.0,7.5,19.2,25.3,1.7,0.3,1.1,10.8,2.9,0-0,0.000,0.000,0.000,0.714,0.425,7.0,45-147,0.306
708,-,Jr,6-2,Leland Green,Hawaii,BW,Wing G,40.9,-0.6,1.9,-4.7,-4.4,-0.3,83.9,104.3,17.8,43.7,44.4,2.8,11.5,8.0,18.7,0.7,0.4,1.5,17.4,4.1,2-2,1.000,0.556,0.312,0.527,0.386,8.1,68-208,0.327
709,-,Jr,6-0,Kody Williams,Hawaii,BW,Combo G,20.7,-0.6,1.5,-6.8,-5.6,-1.2,81.0,107.9,17.9,44.9,57.0,0.5,9.6,14.6,33.7,0.8,0.5,1.0,30.8,4.2,0-0,0.000,0.434,0.375,0.804,0.420,7.4,31-99,0.313
710,-,Sr,6-6,Miles James,Cal St. Northridge,BW,Wing G,21.5,-0.6,0.9,-6.4,-5.1,-1.3,79.6,108.1,14.6,37.7,39.5,3.7,11.9,9.0,19.1,1.0,1.1,1.8,17.6,5.2,1-3,0.333,0.452,0.273,0.538,0.360,5.5,17-64,0.266
711,-,So,6-7,Lewis Thomas,UC Santa Barbara,BW,Wing F,21.4,-0.6,0.9,-3.2,-2.8,-0.4,81.8,104.3,12.8,40.1,41.1,6.4,15.1,9.5,28.3,0.9,2.7,0.8,17.4,2.7,0-0,0.000,0.333,0.276,0.500,0.302,4.7,13-38,0.342
712,-,Jr,6-5,Beril Kabamba,Cal St. Fullerton,BW,Wing F,35.8,-0.6,1.5,-4.7,-4.7,0.0,82.2,105.4,17.0,38.6,47.1,5.6,19.1,8.7,28.0,0.6,1.0,1.4,63.3,3.7,0-0,0.000,0.489,0.333,0.700,0.464,3.0,3-23,0.130
713,-,Fr,6-2,Ameer Shamssud-din,Cal St. Fullerton,BW,null,12.6,-0.6,0.4,-6.7,-5.1,-1.6,64.6,108.6,16.4,33.9,34.0,0.0,8.0,18.7,35.9,1.1,0.6,1.5,19.4,4.1,0-0,0.000,0.000,0.000,0.333,0.250,7.0,5-19,0.263
714,-,Sr,6-9,Daniel Mading,UC Riverside,BW,Stretch 4,16.0,-0.6,0.9,-6.5,-5.6,-0.9,76.1,101.8,14.3,40.2,51.5,3.8,14.4,3.2,25.2,0.4,0.6,0.8,17.8,4.2,2-3,0.667,0.480,0.400,0.632,0.467,8.4,18-72,0.250
715,-,Sr,6-8,James Jackson,UC Riverside,BW,Stretch 4,26.0,-0.6,1.0,-4.5,-4.2,-0.3,81.3,106.6,14.0,46.2,45.5,5.9,15.4,10.6,28.3,0.8,1.5,0.8,30.4,3.9,0-0,0.000,0.452,0.462,0.406,0.444,3.1,11-33,0.333
716,-,Sr,5-10,Breamon Richard,Long Beach St.,BW,Scoring PG,6.7,-0.6,0.3,-9.4,-8.6,-0.8,58.9,110.4,10.1,23.5,52.1,0.6,7.1,5.4,38.8,0.7,0.0,2.1,82.9,5.3,0-0,0.000,0.000,0.200,0.667,0.100,2.1,2-7,0.286
717,-,Sr,6-5,Emil Kim,UC Irvine,BW,PF/C,16.9,-0.6,0.6,-7.6,-6.2,-1.5,77.1,108.8,12.5,39.8,43.4,4.8,9.7,6.8,29.7,0.6,0.3,1.7,41.7,5.9,1-1,1.000,0.500,0.355,0.577,0.415,0.9,1-6,0.167
718,-,Jr,6-8,Beau Gibb,UC Santa Barbara,BW,null,13.7,-0.6,0.6,-8.2,-8.5,0.3,69.6,97.8,9.7,40.0,58.3,6.4,17.0,4.0,41.5,0.3,0.7,0.7,33.3,8.0,0-0,0.000,0.000,0.000,0.600,0.400,0.0,0-0,0.000
719,-,Jr,6-3,Will Brew,UC Santa Barbara,BW,Combo G,50.6,-0.6,2.0,-3.5,-4.5,1.0,81.0,99.3,16.4,42.4,45.4,3.3,7.0,17.6,31.2,1.1,0.3,2.9,40.2,4.7,1-2,0.500,0.531,0.208,0.583,0.407,4.9,44-149,0.295
720,-,Sr,6-10,Dominique Youmans,Cal St. Northridge,BW,C,4.8,-0.6,0.2,-12.4,-10.9,-1.5,47.0,114.9,9.2,20.0,22.8,6.9,7.6,2.8,47.5,0.2,2.8,1.0,22.0,9.6,0-0,0.000,0.250,0.000,0.500,0.200,0.0,0-0,0.000
721,-,Sr,6-7,Riley Till,Cal Poly,BW,Wing F,12.0,-0.6,1.2,-4.5,-4.6,0.1,83.4,104.4,13.3,42.0,53.2,6.9,10.6,5.8,27.2,0.6,3.6,1.8,65.4,4.7,8-10,0.800,0.596,0.000,0.604,0.500,1.9,2-19,0.105
722,-,Sr,6-5,Charles Standifer,UC Riverside,BW,Wing G,12.6,-0.6,1.1,-5.7,-5.4,-0.3,70.4,99.6,19.9,30.4,38.6,2.9,12.9,10.1,16.5,0.9,1.4,2.2,26.8,3.6,3-3,1.000,0.545,0.171,0.500,0.302,6.5,7-34,0.206
723,-,Jr,6-7,Kaleb Brown,Cal St. Fullerton,BW,Wing G,17.2,-0.6,1.1,-5.5,-4.6,-1.0,74.2,108.9,18.1,40.9,45.6,2.3,14.4,18.4,35.5,0.9,1.1,2.1,33.6,3.0,0-0,0.000,0.538,0.311,0.672,0.433,5.1,20-79,0.253
724,-,Jr,6-5,Christian Terrell,UC Santa Barbara,BW,Wing G,30.0,-0.7,1.3,-3.6,-4.3,0.7,87.3,107.0,12.9,38.2,41.9,4.3,13.9,14.0,24.2,1.5,1.0,1.9,28.7,3.9,15-16,0.938,0.600,0.288,0.571,0.452,2.9,8-54,0.148
725,-,Fr,6-4,Berk Can Akin,UC Irvine,BW,Wing G,20.2,-0.7,1.2,-6.4,-6.9,0.5,76.2,97.0,16.1,32.1,35.4,2.0,10.8,8.1,14.6,0.9,0.8,1.4,19.4,3.6,0-0,0.000,0.375,0.357,0.692,0.367,8.7,7-37,0.189
726,-,So,6-4,Antwan Robinson,Cal St. Fullerton,BW,Wing G,35.0,-0.7,1.2,-5.8,-3.7,-2.2,83.6,114.1,17.5,39.2,42.7,2.8,11.9,5.1,14.0,0.5,0.6,1.3,10.1,2.5,1-1,1.000,0.595,0.304,0.815,0.434,12.2,45-181,0.249
727,-,Jr,6-7,Ron Artest III,Cal St. Northridge,BW,PF/C,12.3,-0.7,0.7,-9.2,-7.4,-1.9,76.6,112.5,15.9,41.4,40.8,7.8,12.2,5.2,26.5,0.7,5.2,0.9,36.9,7.5,8-12,0.667,0.600,0.214,0.367,0.414,0.0,0-0,0.000
728,-,Jr,6-5,Vuk Vulikic,UC San Diego,BW,Combo G,20.4,-0.7,0.7,-5.9,-4.1,-1.9,85.7,112.7,11.1,39.6,49.1,1.8,6.6,13.1,25.6,1.6,0.3,0.9,6.1,2.6,0-0,0.000,0.600,0.385,0.750,0.500,5.9,16-68,0.235
729,-,So,6-7,CJ Portz,UC Davis,BW,null,35.8,-0.7,0.5,-9.7,-6.9,-2.8,77.4,117.2,15.7,45.0,52.4,2.0,8.2,12.8,33.3,0.7,3.2,0.6,25.7,6.2,0-0,0.000,0.000,0.000,0.778,0.453,2.5,5-17,0.294
730,-,Fr,6-0,Cedquavious Hunter,Cal St. Bakersfield,BW,Wing G,26.6,-0.7,0.9,-7.7,-7.2,-0.5,72.7,106.3,17.2,32.7,43.1,1.0,11.2,6.1,14.4,0.9,0.0,2.1,16.3,5.0,0-0,0.000,0.333,0.313,0.688,0.318,9.6,12-54,0.222
731,-,So,6-3,Jeron Artest,UC Irvine,BW,Combo G,38.8,-0.7,1.7,-2.8,-4.0,1.2,83.7,98.7,12.9,40.4,46.7,2.3,8.9,9.2,22.6,1.1,0.2,2.0,14.2,3.8,0-0,0.000,0.438,0.286,0.538,0.319,7.1,34-111,0.306
732,-,Sr,6-0,Steven Jones,UC Riverside,BW,Combo G,38.8,-0.7,1.3,-6.3,-5.5,-0.8,83.8,108.3,14.4,39.7,41.5,1.6,9.7,17.9,22.4,1.7,0.4,1.4,22.8,4.7,4-4,1.000,0.577,0.244,0.543,0.397,4.2,34-129,0.264
733,-,Sr,6-4,Nathan Clark,UC Davis,BW,null,17.1,-0.7,0.3,-8.9,-4.4,-4.5,78.0,118.9,13.3,38.1,40.0,3.0,6.4,6.4,19.9,0.9,0.2,0.6,15.5,2.7,0-0,0.000,0.000,0.000,0.750,0.447,6.1,9-42,0.214
734,-,Sr,6-11,Olalekan Ajayi,Cal St. Northridge,BW,C,31.8,-0.7,1.9,-4.1,-4.9,0.9,87.1,97.8,10.2,40.0,47.9,9.7,20.4,2.3,26.5,0.3,2.6,1.9,91.7,6.2,5-8,0.625,0.459,0.286,0.568,0.400,0.0,0-0,0.000
735,-,So,6-2,Olivier-Paul Betu,UC Davis,BW,Wing G,14.0,-0.7,0.4,-7.2,-6.0,-1.2,72.0,113.0,11.3,40.7,44.2,2.6,8.0,14.4,42.8,1.1,0.3,2.3,70.2,4.1,0-0,0.000,0.667,0.400,0.529,0.571,2.3,2-13,0.154
736,-,So,5-10,Frankie Eteuati,Cal St. Northridge,BW,PF/C,21.7,-0.7,0.7,-7.1,-8.7,1.6,68.4,104.7,16.3,44.2,44.8,7.1,12.9,7.2,39.3,0.3,11.5,1.5,51.1,9.3,1-1,1.000,0.640,0.350,0.450,0.462,1.5,3-13,0.231
737,-,So,6-0,Keith Richard,Cal St. Fullerton,BW,Combo G,23.6,-0.8,1.1,-8.5,-5.9,-2.6,76.2,116.5,21.2,36.2,49.2,1.8,8.0,13.8,22.8,0.7,0.7,1.4,27.8,3.8,0-0,0.000,0.490,0.280,0.735,0.386,7.3,16-73,0.219
738,-,Sr,6-3,Langston Redfield,UC Irvine,BW,Scoring PG,18.8,-0.8,1.2,-3.8,-4.7,0.9,80.7,102.8,9.7,40.4,48.8,2.0,8.0,12.4,33.8,1.4,0.4,1.0,7.0,3.1,0-0,0.000,0.467,0.286,0.833,0.409,2.9,9-34,0.265
739,-,Jr,6-6,Marsalis Roberson,UC Davis,BW,PF/C,18.9,-0.9,1.0,-5.6,-5.8,0.1,65.4,102.6,16.6,30.6,33.0,6.1,12.3,12.9,29.8,0.8,2.2,1.9,19.5,4.3,4-5,0.800,0.459,0.174,0.556,0.350,4.2,5-33,0.152
740,-,Sr,6-4,Jace Tavita,Hawaii,BW,Pure PG,31.1,-0.9,1.5,-4.5,-3.7,-0.8,79.2,104.0,11.8,41.4,41.3,1.7,7.5,27.0,41.6,1.8,0.6,1.3,14.8,4.2,1-1,1.000,0.455,0.250,0.381,0.352,3.7,29-97,0.299
741,-,Sr,5-8,Maurice Clady,Long Beach St.,BW,null,41.0,-0.9,1.0,-6.9,-5.1,-1.8,76.4,111.0,15.1,38.3,45.8,1.6,9.1,22.4,38.4,1.2,0.2,1.8,52.1,3.0,0-0,0.000,0.000,0.000,0.731,0.306,3.6,19-60,0.317
742,-,Sr,6-4,Isaac Spears,Cal Poly,BW,Combo G,6.4,-0.9,0.6,-11.3,-7.4,-3.9,69.5,114.8,17.9,32.9,38.7,1.4,8.3,5.7,11.1,1.3,0.0,1.4,25.6,2.2,0-1,0.000,0.357,0.400,0.368,0.379,9.6,8-41,0.195
743,-,Sr,5-9,Rai Colston,Cal St. Northridge,BW,null,14.1,-0.9,0.6,-9.0,-7.9,-1.1,55.0,101.5,14.9,37.5,43.8,0.7,8.4,17.9,54.9,0.7,0.0,1.9,20.0,3.1,0-0,0.000,0.000,0.000,0.500,0.429,1.9,1-6,0.167
744,-,Fr,6-0,Taelin Webb,Cal St. Northridge,BW,Scoring PG,33.1,-0.9,0.9,-6.6,-4.7,-2.0,71.2,110.1,17.3,34.8,40.5,1.8,6.2,22.6,32.2,1.2,1.1,1.6,29.1,3.4,3-3,1.000,0.313,0.250,0.652,0.283,2.8,7-19,0.368
745,-,Fr,6-8,Caleb McGill,UC Davis,BW,Wing F,12.1,-0.9,0.6,-9.6,-8.1,-1.5,57.7,104.9,14.6,21.3,41.3,4.6,11.5,7.7,26.4,0.7,1.0,0.8,19.6,4.9,1-1,1.000,0.412,0.000,0.667,0.241,3.1,1-11,0.091
746,-,So,6-10,Kendrick De Luna,Cal St. Fullerton,BW,C,39.2,-1.0,1.1,-6.7,-6.2,-0.5,79.1,113.6,14.3,47.4,47.2,5.2,8.2,3.8,27.2,0.3,3.6,1.2,34.6,5.0,1-2,0.500,0.565,0.386,0.429,0.474,0.0,0-0,0.000
747,-,Jr,6-5,Brandon Smith,UC Irvine,BW,Wing G,32.4,-1.0,1.8,-2.3,-4.5,2.2,80.8,98.7,12.4,39.0,43.8,3.4,12.3,7.5,25.6,0.8,2.4,1.7,33.6,4.7,5-5,1.000,0.513,0.237,0.595,0.397,3.7,22-87,0.253
748,-,So,6-5,Chris Peys,Long Beach St.,BW,null,12.8,-1.0,0.3,-12.8,-10.0,-2.9,44.7,114.2,15.7,16.7,21.7,0.8,4.6,6.3,24.2,0.5,0.7,1.9,39.4,2.0,0-0,0.000,0.000,0.000,0.462,0.364,8.4,1-22,0.045
749,-,Sr,6-1,Jared Barnett,Cal St. Northridge,BW,Combo G,8.8,-1.0,1.1,-6.0,-6.1,0.1,73.5,104.4,14.9,30.8,39.3,1.7,16.1,25.6,29.2,1.8,0.3,1.8,12.2,4.1,0-0,0.000,0.455,0.237,0.455,0.317,3.6,6-31,0.194
750,-,Jr,6-1,Jonathan Guevara,Cal St. Northridge,BW,Combo G,30.0,-1.1,0.7,-8.9,-6.6,-2.3,76.6,117.6,13.1,37.5,40.2,0.3,7.6,13.3,23.7,1.3,0.3,1.0,44.6,3.5,0-0,0.000,0.444,0.211,0.520,0.324,3.1,6-19,0.316
751,-,Fr,6-9,Johnnie Walter,Cal St. Northridge,BW,PF/C,17.6,-1.1,0.7,-8.2,-7.3,-0.9,62.6,109.0,11.8,30.6,32.5,5.6,16.7,3.8,27.6,0.3,2.7,1.4,5.6,5.3,0-0,0.000,0.435,0.167,0.500,0.379,1.9,0-7,0.000
752,-,So,6-1,Duke DaRe,UC Santa Barbara,BW,PF/C,23.6,-1.1,0.9,-7.5,-8.5,1.0,64.9,104.3,13.5,25.6,29.5,2.6,8.1,18.8,36.6,1.2,0.0,2.9,17.9,6.2,0-0,0.000,0.500,0.000,0.714,0.308,5.8,4-26,0.154
753,-,Jr,6-4,Sione Lose,UC Davis,BW,Combo G,24.9,-1.1,1.1,-4.5,-5.3,0.8,75.0,105.1,9.8,37.0,43.1,5.0,9.1,7.6,31.9,1.1,1.5,2.0,40.1,4.1,2-2,1.000,0.528,0.207,0.471,0.385,2.1,8-35,0.229
754,-,So,6-6,Kailen Rains,Cal St. Northridge,BW,Wing G,22.9,-1.4,0.9,-7.0,-6.0,-1.0,71.3,111.8,10.9,34.2,38.3,0.2,9.5,5.3,19.9,0.7,0.3,2.1,16.5,3.2,0-0,0.000,0.545,0.171,0.692,0.261,4.2,10-33,0.303
755,-,Jr,6-4,Naseem Gaskin,Cal St. Bakersfield,BW,Wing G,27.5,-1.6,1.4,-2.7,-5.5,2.8,65.6,101.5,12.5,35.4,43.5,4.3,14.7,14.2,46.8,0.9,4.4,3.6,43.6,3.8,7-8,0.875,0.382,0.200,0.724,0.354,0.0,0-0,0.000
756,-,Fr,6-2,LoLo Rudolph,Cal St. Fullerton,BW,Combo G,50.5,-1.8,1.0,-8.0,-6.5,-1.5,76.9,118.5,9.6,35.3,40.8,1.7,10.1,11.3,30.0,1.1,0.4,0.7,63.8,3.6,0-0,0.000,0.364,0.455,0.622,0.394,2.4,5-25,0.200
SHOW 100 MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHOW CHART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
