RK,Pick,YEAR,HEIGHT,PLAYER,TEAM,CONF,POS,Role,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,D-Rtg,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,Dunks,Close 2,Far 2,FT,2P,3PR,3P/100,3P
564,-,Sr,5-8,Arell Hennings,UC Davis,BW,Scoring PG,17.8,0.0,0.7,-3.9,-3.2,-0.8,90.1,106.0,18.0,38.7,59.3,2.0,5.7,22.0,26.0,1.6,0.0,1.6,43.3,3.4,0-0,0.000,0.419,0.261,0.841,0.345,5.2,13-44,0.295
565,-,Jr,6-6,J.D. Slajchert,UC Santa Barbara,BW,PF/C,29.9,0.0,0.9,-6.3,-3.5,-2.8,89.6,112.6,18.7,40.9,42.4,10.4,18.1,5.5,18.2,0.4,0.0,0.5,23.7,3.5,0-0,0.000,0.441,0.390,0.727,0.409,0.0,0-0,0.000
566,-,Sr,6-8,Kevin Bradshaw,UC Riverside,BW,C,56.2,0.0,2.0,-4.6,-4.6,0.0,88.2,102.5,19.1,46.4,48.9,9.2,15.2,4.7,23.7,0.3,3.4,1.5,47.6,5.5,14-16,0.875,0.617,0.288,0.569,0.465,0.0,0-1,0.000
567,-,Sr,6-4,Tony Osunsanmi,Cal St. Northridge,BW,PF/C,17.2,0.0,0.9,-1.7,-2.1,0.4,108.9,99.3,7.4,44.4,50.5,14.3,17.5,2.9,24.8,2.2,2.0,1.6,53.5,6.3,0-0,0.000,0.500,0.167,0.640,0.444,0.0,0-0,0.000
568,-,Sr,6-1,Landon Drew,Cal St. Northridge,BW,Scoring PG,48.7,0.0,1.3,-4.4,-2.1,-2.3,91.9,112.1,16.9,45.0,48.0,1.3,7.5,30.3,27.1,2.0,0.4,1.6,19.1,3.9,1-1,1.000,0.443,0.336,0.720,0.390,5.7,82-235,0.349
569,-,Sr,6-10,Devonte Elliott,Cal St. Northridge,BW,PF/C,37.8,0.0,1.6,-3.7,-4.0,0.4,86.3,100.8,17.7,41.0,46.0,7.3,18.0,5.7,20.3,0.4,5.0,1.4,41.6,6.0,19-24,0.792,0.539,0.364,0.631,0.417,1.2,8-37,0.216
570,-,Sr,7-0,Andrew Fleming,Long Beach St.,BW,C,13.9,0.0,0.6,-2.6,-3.8,1.2,101.5,103.4,10.2,50.8,52.0,9.5,15.9,3.4,23.1,0.4,6.6,0.6,34.5,6.6,3-3,1.000,0.923,0.357,0.571,0.508,0.0,0-0,0.000
571,-,Sr,6-9,Paul Bizimana,Cal Poly,BW,Stretch 4,27.1,0.0,1.3,-4.2,-3.0,-1.1,88.1,109.9,18.5,43.8,46.9,4.5,15.0,7.7,18.3,0.6,3.9,1.6,27.8,3.0,1-1,1.000,0.459,0.387,0.720,0.428,6.2,43-142,0.303
572,-,Sr,6-3,Matt Titchenal,Cal Poly,BW,Wing G,11.1,0.0,0.6,-7.4,-4.2,-3.2,88.4,106.4,18.9,43.1,44.0,2.7,6.7,3.4,16.0,0.3,0.5,0.2,21.8,4.2,0-0,0.000,0.357,0.304,0.500,0.324,10.6,15-43,0.349
573,-,Sr,6-7,Tom Mark,Cal St. Bakersfield,BW,Wing F,34.2,0.0,1.7,-0.1,-1.8,1.7,98.3,106.5,13.0,50.3,58.0,6.0,13.0,6.8,23.6,0.8,5.8,2.6,40.9,3.9,13-15,0.867,0.571,0.400,0.627,0.512,1.0,4-14,0.286
